#Gene_ID	Gene_symbol	description
ENSRNOG00000045175	5S_rRNA	5S ribosomal RNA [Source:RFAM%3BAcc:RF00001]
ENSRNOG00000041962	5S_rRNA	5S ribosomal RNA [Source:RFAM%3BAcc:RF00001]
ENSRNOG00000002871	Rbm25l1	RNA binding motif protein 25-like 1 [Source:RGD Symbol%3BAcc:1565486]
ENSRNOG00000002876	Eef2kmt	eukaryotic elongation factor 2 lysine methyltransferase [Source:RGD Symbol%3BAcc:1304969]
ENSRNOG00000002883	Alg1	ALG1%2C chitobiosyldiphosphodolichol beta-mannosyltransferase [Source:RGD Symbol%3BAcc:1310700]
ENSRNOG00000021796	RGD1565166	similar to MGC45438 protein [Source:RGD Symbol%3BAcc:1565166]
ENSRNOG00000047107	AABR07029161.1	--
ENSRNOG00000002895	Nagpa	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase [Source:RGD Symbol%3BAcc:1308972]
ENSRNOG00000002917	Sec14l5	SEC14-like lipid binding 5 [Source:RGD Symbol%3BAcc:1564638]
ENSRNOG00000002930	Ppl	periplakin [Source:RGD Symbol%3BAcc:1305511]
ENSRNOG00000003019	Ubn1	ubinuclein 1 [Source:RGD Symbol%3BAcc:1311582]
ENSRNOG00000003065	Glyr1	glyoxylate reductase 1 homolog [Source:RGD Symbol%3BAcc:1309459]
ENSRNOG00000003125	Rogdi	rogdi homolog [Source:RGD Symbol%3BAcc:1560021]
ENSRNOG00000042344	Smim22	small integral membrane protein 22 [Source:RGD Symbol%3BAcc:1563547]
ENSRNOG00000003137	Sept12	septin 12 [Source:RGD Symbol%3BAcc:1565511]
ENSRNOG00000028075	LOC360479	similar to hypothetical protein [Source:RGD Symbol%3BAcc:1359596]
ENSRNOG00000003186	Anks3	ankyrin repeat and sterile alpha motif domain containing 3 [Source:RGD Symbol%3BAcc:1305833]
ENSRNOG00000003224	Nudt16l1	nudix hydrolase 16 like 1 [Source:RGD Symbol%3BAcc:1561451]
ENSRNOG00000003234	Mgrn1	mahogunin ring finger 1 [Source:RGD Symbol%3BAcc:1311862]
ENSRNOG00000050512	Mir3568	microRNA 3568 [Source:RGD Symbol%3BAcc:4888594]
ENSRNOG00000028883	LOC679823	similar to 60S ribosomal protein L37a [Source:RGD Symbol%3BAcc:1583665]
ENSRNOG00000047978	AABR07072078.2	--
ENSRNOG00000046295	Ubald1	UBA-like domain containing 1 [Source:RGD Symbol%3BAcc:1359443]
ENSRNOG00000042579	AABR07072078.1	--
ENSRNOG00000053718	AABR07029164.1	--
ENSRNOG00000003328	Cdip1	cell death-inducing p53 target 1 [Source:RGD Symbol%3BAcc:1310686]
ENSRNOG00000003773	Hmox2	heme oxygenase 2 [Source:RGD Symbol%3BAcc:67402]
ENSRNOG00000003794	Nmral1	NmrA-like family domain containing 1 [Source:RGD Symbol%3BAcc:1311451]
ENSRNOG00000003855	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3 [Source:RGD Symbol%3BAcc:1306527]
ENSRNOG00000004146	Coro7	coronin 7 [Source:RGD Symbol%3BAcc:621591]
ENSRNOG00000004141	Vasn	vasorin [Source:RGD Symbol%3BAcc:1598149]
ENSRNOG00000004608	Pam16	presequence translocase-associated motor 16 homolog (S. cerevisiae) [Source:RGD Symbol%3BAcc:1598163]
ENSRNOG00000004766	Glis2	GLIS family zinc finger 2 [Source:RGD Symbol%3BAcc:1309177]
ENSRNOG00000005227	Tfap4	transcription factor AP-4 [Source:RGD Symbol%3BAcc:1308357]
ENSRNOG00000005269	Srl	sarcalumenin [Source:RGD Symbol%3BAcc:1306564]
ENSRNOG00000055362	AABR07029172.2	--
ENSRNOG00000043856	AABR07029172.1	--
ENSRNOG00000027368	LOC100910875	protein FAM100A-like [Source:RGD Symbol%3BAcc:6496445]
ENSRNOG00000054141	AABR07029175.1	--
ENSRNOG00000046980	Coro7	coronin 7 [Source:RGD Symbol%3BAcc:621591]
ENSRNOG00000049768	Adcy9	adenylate cyclase 9 [Source:RGD Symbol%3BAcc:1304747]
ENSRNOG00000005330	Crebbp	CREB binding protein [Source:RGD Symbol%3BAcc:2401]
ENSRNOG00000005418	Trap1	TNF receptor-associated protein 1 [Source:RGD Symbol%3BAcc:1359733]
ENSRNOG00000006873	Dnase1	deoxyribonuclease I [Source:RGD Symbol%3BAcc:2510]
ENSRNOG00000024445	Slx4	SLX4 structure-specific endonuclease subunit [Source:RGD Symbol%3BAcc:1566009]
ENSRNOG00000024210	Nlrc3	NLR family%2C CARD domain containing 3 [Source:RGD Symbol%3BAcc:1304902]
ENSRNOG00000007117	Cluap1	clusterin associated protein 1 [Source:RGD Symbol%3BAcc:1359189]
ENSRNOG00000007268	RGD1561796	RGD1561796 [Source:RGD Symbol%3BAcc:1561796]
ENSRNOG00000007280	Naa60	N(alpha)-acetyltransferase 60%2C NatF catalytic subunit [Source:RGD Symbol%3BAcc:1308915]
ENSRNOG00000007576	Zfp597	zinc finger protein 597 [Source:RGD Symbol%3BAcc:628674]
ENSRNOG00000007655	Zfp174	zinc finger protein 174 [Source:RGD Symbol%3BAcc:7498198]
ENSRNOG00000039773	Olr1356	olfactory receptor 1356 [Source:RGD Symbol%3BAcc:1334376]
ENSRNOG00000007678	Zfp263	zinc finger protein 263 [Source:RGD Symbol%3BAcc:1307301]
ENSRNOG00000008134	Mefv	Mediterranean fever [Source:RGD Symbol%3BAcc:61889]
ENSRNOG00000048133	Olr1358	olfactory receptor 1358 [Source:RGD Symbol%3BAcc:1333581]
ENSRNOG00000048615	LOC100912159	olfactory receptor 1361-like [Source:RGD Symbol%3BAcc:6488831]
ENSRNOG00000047511	Olr1381	olfactory receptor 1381 [Source:RGD Symbol%3BAcc:1332969]
ENSRNOG00000061166	AABR07029192.1	--
ENSRNOG00000050126	Olr1525	olfactory receptor 1525 [Source:RGD Symbol%3BAcc:1332793]
ENSRNOG00000049716	Olr1361	olfactory receptor 1361 [Source:RGD Symbol%3BAcc:708422]
ENSRNOG00000047553	Olr1362	olfactory receptor 1362 [Source:RGD Symbol%3BAcc:1333886]
ENSRNOG00000048685	Olr1364	olfactory receptor 1364 [Source:RGD Symbol%3BAcc:1333960]
ENSRNOG00000046583	Olr1365	olfactory receptor 1365 [Source:RGD Symbol%3BAcc:1334265]
ENSRNOG00000039761	AC129054.1	--
ENSRNOG00000047259	Olr1368	olfactory receptor 1368 [Source:RGD Symbol%3BAcc:1334368]
ENSRNOG00000050820	Olr1369	olfactory receptor 1369 [Source:RGD Symbol%3BAcc:1334290]
ENSRNOG00000046347	Olr1370	olfactory receptor 1370 [Source:RGD Symbol%3BAcc:1332925]
ENSRNOG00000048460	AC129054.2	--
ENSRNOG00000049118	Olr1372	olfactory receptor 1372 [Source:RGD Symbol%3BAcc:1333630]
ENSRNOG00000039760	Olr1373	olfactory receptor 1373 [Source:RGD Symbol%3BAcc:1332671]
ENSRNOG00000045802	Olr1374	olfactory receptor 1374 [Source:RGD Symbol%3BAcc:1334113]
ENSRNOG00000047727	Olr1375	olfactory receptor 1375 [Source:RGD Symbol%3BAcc:1333212]
ENSRNOG00000049640	Olr1376	olfactory receptor 1376 [Source:RGD Symbol%3BAcc:1334086]
ENSRNOG00000058408	AC108588.1	--
ENSRNOG00000030412	Olr1378	olfactory receptor 1378 [Source:RGD Symbol%3BAcc:1332786]
ENSRNOG00000049114	Olr1380	olfactory receptor 1380 [Source:RGD Symbol%3BAcc:1333926]
ENSRNOG00000050905	Olr1382	olfactory receptor 1382 [Source:RGD Symbol%3BAcc:1333149]
ENSRNOG00000003401	Gm8225	predicted gene 8225 [Source:MGI Symbol%3BAcc:MGI:3643826]
ENSRNOG00000021872	Zfp213	zinc finger protein 213 [Source:RGD Symbol%3BAcc:1305919]
ENSRNOG00000003455	Zfp13	zinc finger protein 13 [Source:RGD Symbol%3BAcc:1304577]
ENSRNOG00000021782	Zscan10	zinc finger and SCAN domain containing 10 [Source:RGD Symbol%3BAcc:1310745]
ENSRNOG00000053313	AABR07029197.1	--
ENSRNOG00000056896	AABR07029198.1	--
ENSRNOG00000003457	Bicdl2	BICD family like cargo adaptor 2 [Source:RGD Symbol%3BAcc:1306729]
ENSRNOG00000003497	Thoc6	THO complex 6 [Source:RGD Symbol%3BAcc:708553]
ENSRNOG00000003542	Hcfc1r1	host cell factor C1 regulator 1 [Source:RGD Symbol%3BAcc:727975]
ENSRNOG00000003546	Tnfrsf12a	tumor necrosis factor receptor superfamily%2C member 12a [Source:RGD Symbol%3BAcc:631329]
ENSRNOG00000003648	Cldn6	claudin 6 [Source:RGD Symbol%3BAcc:1308837]
ENSRNOG00000003654	Cldn9	claudin 9 [Source:RGD Symbol%3BAcc:1308999]
ENSRNOG00000028231	AABR07029202.1	--
ENSRNOG00000003657	Pkmyt1	protein kinase%2C membrane associated tyrosine/threonine 1 [Source:RGD Symbol%3BAcc:1305434]
ENSRNOG00000003721	Paqr4	progestin and adipoQ receptor family member 4 [Source:RGD Symbol%3BAcc:1309533]
ENSRNOG00000004122	Kremen2	kringle containing transmembrane protein 2 [Source:RGD Symbol%3BAcc:1310795]
ENSRNOG00000042258	RGD1561157	RGD1561157 [Source:RGD Symbol%3BAcc:1561157]
ENSRNOG00000004333	Flywch1	FLYWCH-type zinc finger 1 [Source:RGD Symbol%3BAcc:1309385]
ENSRNOG00000004461	Flywch2	FLYWCH family member 2 [Source:RGD Symbol%3BAcc:6497122]
ENSRNOG00000058561	Srrm2	serine/arginine repetitive matrix 2 [Source:RGD Symbol%3BAcc:1310163]
ENSRNOG00000049077	AABR07029204.1	--
ENSRNOG00000004814	Tceb2	transcription elongation factor B subunit 2 [Source:RGD Symbol%3BAcc:621200]
ENSRNOG00000029279	Prss33	protease%2C serine%2C 33 [Source:RGD Symbol%3BAcc:1583742]
ENSRNOG00000033690	Prss41	protease%2C serine%2C 41 [Source:RGD Symbol%3BAcc:1584711]
ENSRNOG00000029223	Prss32	protease%2C serine%2C 32 [Source:RGD Symbol%3BAcc:1311905]
ENSRNOG00000047969	Prss21	protease%2C serine%2C 21 [Source:RGD Symbol%3BAcc:727870]
ENSRNOG00000049151	Csap1	common salivary protein 1 [Source:RGD Symbol%3BAcc:708577]
ENSRNOG00000058058	Sbp	spermine binding protein [Source:RGD Symbol%3BAcc:3623]
ENSRNOG00000057127	Sbpl	spermine binding protein-like [Source:RGD Symbol%3BAcc:1562673]
ENSRNOG00000033266	Prss30	protease%2C serine%2C 30 [Source:RGD Symbol%3BAcc:735142]
ENSRNOG00000058236	AC130139.2	--
ENSRNOG00000039698	Prss22	protease%2C serine%2C 22 [Source:RGD Symbol%3BAcc:1310880]
ENSRNOG00000054243	AC130139.1	--
ENSRNOG00000005336	Prss27	protease%2C serine 27 [Source:RGD Symbol%3BAcc:1303256]
ENSRNOG00000057186	Kctd5	potassium channel tetramerization domain containing 5 [Source:RGD Symbol%3BAcc:1304990]
ENSRNOG00000006136	Pdpk1	3-phosphoinositide dependent protein kinase-1 [Source:RGD Symbol%3BAcc:620307]
ENSRNOG00000006460	Amdhd2	amidohydrolase domain containing 2 [Source:RGD Symbol%3BAcc:1304601]
ENSRNOG00000006542	Atp6v0c	ATPase H+ transporting V0 subunit C [Source:RGD Symbol%3BAcc:621394]
ENSRNOG00000052204	Tbc1d24	TBC1 domain family%2C member 24 [Source:RGD Symbol%3BAcc:1306143]
ENSRNOG00000006970	Ntn3	netrin 3 [Source:RGD Symbol%3BAcc:619811]
ENSRNOG00000007436	LOC100158225	hypothetical protein LOC100158225 [Source:RGD Symbol%3BAcc:2293499]
ENSRNOG00000052132	AC098526.1	--
ENSRNOG00000007483	Ccnf	cyclin F [Source:RGD Symbol%3BAcc:67401]
ENSRNOG00000039656	Abca17	ATP-binding cassette%2C subfamily A (ABC1)%2C member 17 [Source:RGD Symbol%3BAcc:1560494]
ENSRNOG00000050057	Abca3	ATP binding cassette subfamily A member 3 [Source:RGD Symbol%3BAcc:1307174]
ENSRNOG00000053437	AC103090.1	--
ENSRNOG00000008703	Rnps1	RNA binding protein S1 [Source:RGD Symbol%3BAcc:1307522]
ENSRNOG00000008843	Eci1	enoyl-CoA delta isomerase 1 [Source:RGD Symbol%3BAcc:61892]
ENSRNOG00000042352	Dnase1l2	deoxyribonuclease I-like 2 [Source:RGD Symbol%3BAcc:1583566]
ENSRNOG00000009224	E4f1	E4F transcription factor 1 [Source:RGD Symbol%3BAcc:1596731]
ENSRNOG00000009536	Pgp	phosphoglycolate phosphatase [Source:RGD Symbol%3BAcc:1307773]
ENSRNOG00000009667	Mlst8	MTOR associated protein%2C LST8 homolog [Source:RGD Symbol%3BAcc:69242]
ENSRNOG00000009611	Bricd5	BRICHOS domain containing 5 [Source:RGD Symbol%3BAcc:1596720]
ENSRNOG00000003195	Caskin1	CASK interacting protein 1 [Source:RGD Symbol%3BAcc:620191]
ENSRNOG00000003131	Traf7	TNF receptor associated factor 7 [Source:RGD Symbol%3BAcc:1559653]
ENSRNOG00000042086	Rab26	RAB26%2C member RAS oncogene family [Source:RGD Symbol%3BAcc:620890]
ENSRNOG00000057905	AC103090.2	--
ENSRNOG00000010771	Pkd1	polycystic kidney disease 1 [Source:RGD Symbol%3BAcc:3333]
ENSRNOG00000041621	AC093937.1	--
ENSRNOG00000011375	Tsc2	tuberous sclerosis 2 [Source:RGD Symbol%3BAcc:3908]
ENSRNOG00000012213	Nthl1	nth-like DNA glycosylase 1 [Source:RGD Symbol%3BAcc:1309289]
ENSRNOG00000002997	Slc9a3r2	SLC9A3 regulator 2 [Source:RGD Symbol%3BAcc:620380]
ENSRNOG00000012390	Npw	neuropeptide W [Source:RGD Symbol%3BAcc:727858]
ENSRNOG00000012434	Zfp598	zinc finger protein 598 [Source:RGD Symbol%3BAcc:1304900]
ENSRNOG00000012620	Syngr3	synaptogyrin 3 [Source:RGD Symbol%3BAcc:1311801]
ENSRNOG00000013370	Gfer	growth factor%2C augmenter of liver regeneration [Source:RGD Symbol%3BAcc:61845]
ENSRNOG00000025117	Noxo1	NADPH oxidase organizer 1 [Source:RGD Symbol%3BAcc:1307802]
ENSRNOG00000013429	Tbl3	transducin (beta)-like 3 [Source:RGD Symbol%3BAcc:1305142]
ENSRNOG00000014127	Rnf151	ring finger protein 151 [Source:RGD Symbol%3BAcc:1309302]
ENSRNOG00000053534	AC093937.2	--
ENSRNOG00000014179	Rps2	ribosomal protein S2 [Source:RGD Symbol%3BAcc:619887]
ENSRNOG00000059404	AC093937.3	--
ENSRNOG00000014568	Ndufb10	NADH:ubiquinone oxidoreductase subunit B10 [Source:RGD Symbol%3BAcc:1310782]
ENSRNOG00000014641	Rpl3l	ribosomal protein L3-like [Source:RGD Symbol%3BAcc:1306315]
ENSRNOG00000055314	Msrb1	methionine sulfoxide reductase B1 [Source:RGD Symbol%3BAcc:1583243]
ENSRNOG00000014672	Hs3st6	heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:RGD Symbol%3BAcc:1584381]
ENSRNOG00000058984	AC115181.1	--
ENSRNOG00000014711	Meiob	meiosis specific with OB domains [Source:RGD Symbol%3BAcc:1583204]
ENSRNOG00000014727	Fahd1	fumarylacetoacetate hydrolase domain containing 1 [Source:RGD Symbol%3BAcc:1304560]
ENSRNOG00000014743	Hagh	hydroxyacyl glutathione hydrolase [Source:RGD Symbol%3BAcc:2779]
ENSRNOG00000015061	Igfals	insulin-like growth factor binding protein%2C acid labile subunit [Source:RGD Symbol%3BAcc:68429]
ENSRNOG00000015090	Nubp2	nucleotide binding protein 2 [Source:RGD Symbol%3BAcc:1305113]
ENSRNOG00000015300	Spsb3	splA/ryanodine receptor domain and SOCS box containing 3 [Source:RGD Symbol%3BAcc:1310936]
ENSRNOG00000024867	Eme2	essential meiotic structure-specific endonuclease subunit 2 [Source:RGD Symbol%3BAcc:1304924]
ENSRNOG00000015479	Mrps34	mitochondrial ribosomal protein S34 [Source:RGD Symbol%3BAcc:1305623]
ENSRNOG00000015749	Nme3	NME/NM23 nucleoside diphosphate kinase 3 [Source:RGD Symbol%3BAcc:619879]
ENSRNOG00000033568	Mapk8ip3	mitogen-activated protein kinase 8 interacting protein 3 [Source:RGD Symbol%3BAcc:1563691]
ENSRNOG00000024661	Hn1l	hematological and neurological expressed 1-like [Source:RGD Symbol%3BAcc:1305117]
ENSRNOG00000024635	Cramp1	cramped chromatin regulator homolog 1 [Source:RGD Symbol%3BAcc:1311948]
ENSRNOG00000016545	Ift140	intraflagellar transport 140 [Source:RGD Symbol%3BAcc:2318759]
ENSRNOG00000016494	Tmem204	transmembrane protein 204 [Source:RGD Symbol%3BAcc:1359314]
ENSRNOG00000016774	Telo2	telomere maintenance 2 [Source:RGD Symbol%3BAcc:1305553]
ENSRNOG00000060934	Ptx4	pentraxin 4 [Source:RGD Symbol%3BAcc:1311190]
ENSRNOG00000016976	Clcn7	chloride voltage-gated channel 7 [Source:RGD Symbol%3BAcc:61836]
ENSRNOG00000030541	Ccdc154	coiled-coil domain containing 154 [Source:RGD Symbol%3BAcc:1559998]
ENSRNOG00000017586	AC094421.1	--
ENSRNOG00000029415	RGD1565784	RGD1565784 [Source:RGD Symbol%3BAcc:1565784]
ENSRNOG00000054605	Unkl	unkempt family like zinc finger [Source:RGD Symbol%3BAcc:1565247]
ENSRNOG00000024455	Gnptg	N-acetylglucosamine-1-phosphate transferase%2C gamma subunit [Source:RGD Symbol%3BAcc:1311614]
ENSRNOG00000017858	Tsr3	TSR3%2C 20S rRNA accumulation [Source:RGD Symbol%3BAcc:1565744]
ENSRNOG00000017893	Baiap3	BAI1-associated protein 3 [Source:RGD Symbol%3BAcc:10059729]
ENSRNOG00000047763	Mir3547	microRNA 3547 [Source:RGD Symbol%3BAcc:4888561]
ENSRNOG00000017907	Ube2i	ubiquitin-conjugating enzyme E2I [Source:RGD Symbol%3BAcc:3926]
ENSRNOG00000018466	Prss34	protease%2C serine%2C 34 [Source:RGD Symbol%3BAcc:1306667]
ENSRNOG00000053152	AC098959.1	--
ENSRNOG00000058976	LOC685321	similar to protease%2C serine%2C 28 [Source:RGD Symbol%3BAcc:1595127]
ENSRNOG00000039405	Prss29	protease%2C serine%2C 29 [Source:RGD Symbol%3BAcc:1305856]
ENSRNOG00000028926	RGD1559662	similar to implantation serine proteinase 2 [Source:RGD Symbol%3BAcc:1559662]
ENSRNOG00000024181	Tpsab1	tryptase alpha/beta 1 [Source:RGD Symbol%3BAcc:3066]
ENSRNOG00000018611	Tpsb2	tryptase beta 2 [Source:RGD Symbol%3BAcc:3065]
ENSRNOG00000018701	Tpsg1	tryptase gamma 1 [Source:RGD Symbol%3BAcc:631355]
ENSRNOG00000033893	Cacna1h	calcium voltage-gated channel subunit alpha1 H [Source:RGD Symbol%3BAcc:68943]
ENSRNOG00000054105	AC098959.2	--
ENSRNOG00000018792	Tekt4	tektin 4 [Source:RGD Symbol%3BAcc:1308075]
ENSRNOG00000018834	Sstr5	somatostatin receptor 5 [Source:RGD Symbol%3BAcc:3765]
ENSRNOG00000018841	Sox8	SRY box 8 [Source:RGD Symbol%3BAcc:1309072]
ENSRNOG00000000230	Lmf1	lipase maturation factor 1 [Source:RGD Symbol%3BAcc:1310180]
ENSRNOG00000045537	AABR07029215.1	--
ENSRNOG00000056131	AABR07029217.4	--
ENSRNOG00000039350	Gng13	G protein subunit gamma 13 [Source:RGD Symbol%3BAcc:1593806]
ENSRNOG00000019174	Chtf18	chromosome transmission fidelity factor 18 [Source:RGD Symbol%3BAcc:1310473]
ENSRNOG00000023639	Rpusd1	RNA pseudouridylate synthase domain containing 1 [Source:RGD Symbol%3BAcc:1304934]
ENSRNOG00000039339	Mslnl	mesothelin-like [Source:RGD Symbol%3BAcc:1561732]
ENSRNOG00000019445	Msln	mesothelin [Source:RGD Symbol%3BAcc:69333]
ENSRNOG00000019522	Narfl	nuclear prelamin A recognition factor-like [Source:RGD Symbol%3BAcc:1305982]
ENSRNOG00000019612	Haghl	hydroxyacylglutathione hydrolase-like [Source:RGD Symbol%3BAcc:1308042]
ENSRNOG00000022331	Ccdc78	coiled-coil domain containing 78 [Source:RGD Symbol%3BAcc:1560244]
ENSRNOG00000019684	Fam173a	family with sequence similarity 173%2C member A [Source:RGD Symbol%3BAcc:1306126]
ENSRNOG00000019692	Metrn	meteorin%2C glial cell differentiation regulator [Source:RGD Symbol%3BAcc:1306222]
ENSRNOG00000054877	AABR07029217.3	--
ENSRNOG00000022248	Fbxl16	F-box and leucine-rich repeat protein 16 [Source:RGD Symbol%3BAcc:1309127]
ENSRNOG00000019713	Wdr24	WD repeat domain 24 [Source:RGD Symbol%3BAcc:1304803]
ENSRNOG00000019729	Jmjd8	jumonji domain containing 8 [Source:RGD Symbol%3BAcc:1307381]
ENSRNOG00000019798	Stub1	STIP1 homology and U-box containing protein 1 [Source:RGD Symbol%3BAcc:1306167]
ENSRNOG00000047205	AABR07029217.1	--
ENSRNOG00000019921	Rhbdl1	rhomboid%2C veinlet-like 1 (Drosophila) [Source:RGD Symbol%3BAcc:620699]
ENSRNOG00000019930	Rhot2	ras homolog family member T2 [Source:RGD Symbol%3BAcc:727970]
ENSRNOG00000020006	Wdr90	WD repeat domain 90 [Source:RGD Symbol%3BAcc:7520481]
ENSRNOG00000020029	Mcrip2	MAPK regulated co-repressor interacting protein 2 [Source:RGD Symbol%3BAcc:1592603]
ENSRNOG00000021615	RGD1307155	similar to CG18661-PA [Source:RGD Symbol%3BAcc:1307155]
ENSRNOG00000021578	Wfikkn1	WAP%2C follistatin/kazal%2C immunoglobulin%2C kunitz and netrin domain containing 1 [Source:RGD Symbol%3BAcc:1565835]
ENSRNOG00000020067	Rab40c	Rab40c%2C member RAS oncogene family [Source:RGD Symbol%3BAcc:727914]
ENSRNOG00000020140	Pigq	phosphatidylinositol glycan anchor biosynthesis%2C class Q [Source:RGD Symbol%3BAcc:1359535]
ENSRNOG00000039279	Nhlrc4	NHL repeat containing 4 [Source:RGD Symbol%3BAcc:6503435]
ENSRNOG00000020212	LOC302999	similar to tripartite motif protein 32 [Source:RGD Symbol%3BAcc:1598335]
ENSRNOG00000020239	Capn15	calpain 15 [Source:RGD Symbol%3BAcc:1306514]
ENSRNOG00000042216	D630044L22Rik	RIKEN cDNA gene D630044L22 gene [Source:MGI Symbol%3BAcc:MGI:3709661]
ENSRNOG00000032152	Rab11fip3	RAB11 family interacting protein 3 [Source:RGD Symbol%3BAcc:1308952]
ENSRNOG00000053760	AC126071.2	--
ENSRNOG00000050424	Nme4	NME/NM23 nucleoside diphosphate kinase 4 [Source:RGD Symbol%3BAcc:1591334]
ENSRNOG00000020374	Tmem8a	transmembrane protein 8A [Source:RGD Symbol%3BAcc:1311395]
ENSRNOG00000042720	Mrpl28	mitochondrial ribosomal protein L28 [Source:RGD Symbol%3BAcc:1583741]
ENSRNOG00000054649	AC096051.2	--
ENSRNOG00000020488	Luc7l	LUC7-like [Source:RGD Symbol%3BAcc:1307542]
ENSRNOG00000045989	Hba-a3	hemoglobin alpha%2C adult chain 3 [Source:RGD Symbol%3BAcc:1359209]
ENSRNOG00000047321	Hba-a2	hemoglobin alpha%2C adult chain 2 [Source:RGD Symbol%3BAcc:1359364]
ENSRNOG00000028114	Hbq1	hemoglobin%2C theta 1 [Source:RGD Symbol%3BAcc:1305765]
ENSRNOG00000029886	Hba-a1	hemoglobin alpha%2C adult chain 1 [Source:RGD Symbol%3BAcc:2782]
ENSRNOG00000020536	Hbz	hemoglobin subunit zeta [Source:RGD Symbol%3BAcc:1307486]
ENSRNOG00000049764	AC096051.1	--
ENSRNOG00000020541	Nprl3	NPR3-like%2C GATOR1 complex subunit [Source:RGD Symbol%3BAcc:1308665]
ENSRNOG00000020571	Mpg	N-methylpurine-DNA glycosylase [Source:RGD Symbol%3BAcc:3106]
ENSRNOG00000020594	Rhbdf1	rhomboid 5 homolog 1 (Drosophila) [Source:RGD Symbol%3BAcc:1305075]
ENSRNOG00000020626	Snrnp25	small nuclear ribonucleoprotein U11/U12 subunit 25 [Source:RGD Symbol%3BAcc:1310922]
ENSRNOG00000020630	Il9r	interleukin 9 receptor [Source:RGD Symbol%3BAcc:2907]
ENSRNOG00000054307	AABR07072086.1	--
ENSRNOG00000051654	AABR07029217.2	--
ENSRNOG00000054167	AABR07029218.1	--
ENSRNOG00000020644	Nsg2	neuron specific gene family member 2 [Source:RGD Symbol%3BAcc:1563944]
ENSRNOG00000027852	RGD1311343	similar to RIKEN cDNA 4930524B15 [Source:RGD Symbol%3BAcc:1311343]
ENSRNOG00000033169	Cpeb4	cytoplasmic polyadenylation element binding protein 4 [Source:RGD Symbol%3BAcc:1311931]
ENSRNOG00000054610	AABR07029220.2	--
ENSRNOG00000053667	AABR07029220.1	--
ENSRNOG00000058625	AABR07029221.1	--
ENSRNOG00000020717	Bod1	biorientation of chromosomes in cell division 1 [Source:RGD Symbol%3BAcc:1305622]
ENSRNOG00000058480	AC119699.2	--
ENSRNOG00000051385	AC119699.1	--
ENSRNOG00000060453	AC119699.3	--
ENSRNOG00000020729	Stc2	stanniocalcin 2 [Source:RGD Symbol%3BAcc:621777]
ENSRNOG00000020747	Nkx2-5	NK2 homeobox 5 [Source:RGD Symbol%3BAcc:620520]
ENSRNOG00000020753	Bnip1	BCL2/adenovirus E1B interacting protein 1 [Source:RGD Symbol%3BAcc:620799]
ENSRNOG00000020769	Crebrf	CREB3 regulatory factor [Source:RGD Symbol%3BAcc:1310862]
ENSRNOG00000003269	Atp6v0e1	ATPase H+ transporting V0 subunit e1 [Source:RGD Symbol%3BAcc:621393]
ENSRNOG00000003508	Ergic1	endoplasmic reticulum-golgi intermediate compartment 1 [Source:RGD Symbol%3BAcc:1585015]
ENSRNOG00000053789	AC111369.1	--
ENSRNOG00000003977	Dusp1	dual specificity phosphatase 1 [Source:RGD Symbol%3BAcc:620897]
ENSRNOG00000027606	Neurl1b	neuralized E3 ubiquitin protein ligase 1B [Source:RGD Symbol%3BAcc:1564984]
ENSRNOG00000004063	Sh3pxd2b	SH3 and PX domains 2B [Source:RGD Symbol%3BAcc:1309926]
ENSRNOG00000004137	Ubtd2	ubiquitin domain containing 2 [Source:RGD Symbol%3BAcc:1305506]
ENSRNOG00000004142	Efcab9	EF-hand calcium binding domain 9 [Source:RGD Symbol%3BAcc:1588807]
ENSRNOG00000004217	Stk10	serine/threonine kinase 10 [Source:RGD Symbol%3BAcc:3779]
ENSRNOG00000004395	Fbxw11	F-box and WD repeat domain containing 11 [Source:RGD Symbol%3BAcc:1309121]
ENSRNOG00000027196	Smim23	small integral membrane protein 23 [Source:RGD Symbol%3BAcc:1306625]
ENSRNOG00000048389	Fgf18	fibroblast growth factor 18 [Source:RGD Symbol%3BAcc:2608]
ENSRNOG00000004616	Npm1	nucleophosmin (nucleolar phosphoprotein B23%2C numatrin) [Source:RGD Symbol%3BAcc:3192]
ENSRNOG00000034498	5S_rRNA	5S ribosomal RNA [Source:RFAM%3BAcc:RF00001]
ENSRNOG00000004976	Tlx3	T-cell leukemia%2C homeobox 3 [Source:RGD Symbol%3BAcc:1564190]
ENSRNOG00000005042	Ranbp17	RAN binding protein 17 [Source:RGD Symbol%3BAcc:1562576]
ENSRNOG00000032417	Gabrp	gamma-aminobutyric acid type A receptor pi subunit [Source:RGD Symbol%3BAcc:620532]
ENSRNOG00000058259	AABR07029260.1	--
ENSRNOG00000005365	Kcnip1	potassium voltage-gated channel interacting protein 1 [Source:RGD Symbol%3BAcc:70886]
ENSRNOG00000029706	AABR07029262.1	--
ENSRNOG00000005465	Kcnmb1	potassium calcium-activated channel subfamily M regulatory beta subunit 1 [Source:RGD Symbol%3BAcc:2961]
ENSRNOG00000005620	Lcp2	lymphocyte cytosolic protein 2 [Source:RGD Symbol%3BAcc:619743]
