#Gene_ID	Gene_symbol
gene0	Vom2r4
gene5842	RGD1564513
gene5843	LOC688743
gene5844	LOC688728
gene5845	S100a10
gene5846	S100a11
gene5847	LOC295194
gene5848	Tchhl1
gene5849	LOC502545
gene5850	Tchh
gene5851	Rptn
gene5852	RGD1560208
gene5853	LOC103691636
gene5854	Flg
gene5855	LOC102548638
gene5856	Flg2
gene5857	Crnn
gene5858	RGD1561111
gene5859	Lce1m
gene5860	RGD1564972
gene5861	RGD1562704
gene5862	LOC100911982
gene5863	LOC100361951
gene5864	LOC100364321
gene5865	Lce3d
gene5866	LOC295184
gene5867	LOC686143
gene5868	Lce1l
gene5869	Kprp
gene5870	LOC103691631
gene5871	LOC100362610
gene5872	LOC102551936
gene5873	LOC102549724
gene5874	LOC103695130
gene5875	LOC103691629
gene5876	LOC102552128
gene5877	Lce1f
gene5878	LOC499662
gene5879	LOC103691628
gene5880	LOC310579
gene5881	LOC102552326
gene5882	LOC103691634
gene5883	LOC103695133
gene5884	LOC103695131
gene5885	Lce6a
gene5886	Smcp
gene5887	Ivl
gene5888	Sprr1a
gene5889	Sprr3
gene5890	Sprr1b
gene5891	LOC102550257
gene5892	LOC102550416
gene5893	LOC102552542
gene5894	LOC102550512
gene5895	LOC102550598
gene5896	Sprr2d
gene5897	LOC102552651
gene5898	LOC100910737
gene5899	LOC103691627
gene5900	LOC102552940
gene5901	LOC103690172
gene5902	LOC103691624
gene5903	LOC102553778
gene5904	Prr9
gene5905	Lor
gene5906	LOC100911387
gene5907	LOC103690333
gene5908	Pglyrp3b
gene5909	LOC102554341
gene5910	LOC681638
gene5911	Pglyrp3
gene5912	LOC685600
gene5913	S100vp
gene5914	RGD1562234
gene5915	LOC100362314
gene5916	LOC310649
gene5917	Them4
gene5918	Them5
gene5919	C2cd4d
gene5920	Lingo4
gene5921	Tdrkh
gene5922	LOC103691639
gene5923	Oaz3
gene5924	mrpl9
gene5925	LOC102556390
gene5926	Riiad1
gene5927	Celf3
gene5928	Snx27
gene5929	RGD1560263
gene5930	Tuft1
gene5931	Cgn
gene5932	LOC100363268
gene5933	Pogz
gene5934	Psmb4
gene5935	LOC103689947
gene5936	Rfx5
gene5937	Pi4kb
gene5938	LOC102547008
gene5939	LOC100363361
gene5940	Psmd4
gene5941	Pip5k1a
gene5942	Vps72
gene5943	Tmod4
gene5944	Scnm1
gene5945	Lysmd1
gene5946	Tnfaip8l2
gene5947	Sema6c
gene5948	Gabpb2
gene5949	Mllt11
gene5950	Cdc42se1
gene5951	RGD1359334
gene5952	Bnipl
gene5953	Prune
gene5954	Fam63a
gene5955	Anxa9
gene5956	Cers2
gene5957	Setdb1
gene5958	LOC102550012
gene5959	LOC103691640
gene5960	LOC100363520
gene5961	Arnt
gene5962	Ctsk
gene5963	LOC102547324
gene5964	Ctss
gene5965	Hormad1
gene5966	LOC102547423
gene5967	Golph3l
gene5968	Ensa
gene5969	LOC102547523
gene5970	Mcl1
gene5971	Adamtsl4
gene5972	Ecm1
gene5973	Tars2
gene5974	LOC100364568
gene5975	LOC103691642
gene5976	Prpf3
gene5977	Mrps21
gene5978	Ciart
gene5979	Ciart
gene5980	Aph1a
gene5981	Car14
gene5982	LOC103691643
gene5983	Anp32e
gene5984	RGD1562196
gene5985	Plekho1
gene5986	Vps45
gene5987	LOC100912133
gene5988	Otud7b
gene5989	LOC102548788
gene5990	Mtmr11
gene5991	Sf3b4
gene5992	Sv2a
gene5993	Bola1
gene5994	Hist2h2ab
gene5995	Hist2h2ac
gene5996	Hist2h2be
gene5997	LOC690131
gene5998	Hist2h2aa3
gene5999	LOC103695134
gene6000	Hist2h4
gene6001	Hist2h3c2
gene6002	LOC100912338
gene6003	Fcgr1a
gene6004	LOC100359862
gene6005	Trnag-ccc
gene6006	Trnan-guu
gene6007	Trnav-cac
gene6008	Trnan-guu
gene6009	LOC690204
gene6010	Trnaq-cug
gene6011	Trnae-uuc
gene6012	Trnag-ccc
gene6013	Trnaq-cug
gene6014	Trnan-guu
gene6015	Trnae-uuc
gene6016	Trnah-gug
gene6017	Trnag-ccc
gene6018	Trnak-cuu
gene6019	Trnah-gug
gene6020	LOC100360229
gene6021	Trnah-gug
gene6022	Trnah-gug
gene6023	Trnan-guu
gene6024	Trnaq-cug
gene6025	Trnan-guu
gene6026	Trnak-cuu
gene6027	Trnah-gug
gene6028	Trnag-ucc
gene6029	Trnae-cuc
gene6030	Hfe2
gene6031	LOC103691645
gene6032	Txnip
gene6033	Polr3gl
gene6034	LOC102552578
gene6035	Ankrd34a
gene6036	Lix1l
gene6037	Rbm8a
gene6038	Pex11b
gene6039	Itga10
gene6040	Ankrd35
gene6041	Pias3
gene6042	Nudt17
gene6043	Polr3c
gene6044	Rnf115
gene6045	Cd160
gene6046	Pdzk1
gene6047	Gpr89b
gene6048	Gja8
gene6049	LOC690353
gene6050	Gja5
gene6051	LOC690385
gene6052	LOC102553665
gene6053	LOC103691646
gene6054	LOC100362315
gene6055	Acp6
gene6056	Bcl9
gene6057	LOC102549654
gene6058	LOC102550046
gene6059	LOC690468
gene6060	Olr390
gene6061	Chd1l
gene6062	Fmo5
gene6063	Prkab2
gene6064	Trnaq-cug
gene6065	LOC102550575
gene6066	Pde4dip
gene6067	Sec22b
gene6068	LOC102550637
gene6069	LOC102550702
gene6070	Notch2
gene6071	Adam30
gene6072	LOC100361630
gene6073	Reg4
gene6074	Hmgcs2
gene6075	Phgdh
gene6076	Zfp697
gene6077	Hsd3b5
gene6078	LOC502588
gene6079	LOC102557047
gene6080	Hsd3b6
gene6081	LOC103695135
gene6082	Hsd3b
gene6083	Hsd3b1
gene6084	Hao2
gene6085	Snrpgl2
gene6086	LOC690649
gene6087	Wars2
gene6088	Tbx15
gene6089	LOC102557155
gene6090	RGD1561508
gene6091	LOC683372
gene6092	Spag17
gene6093	Wdr3
gene6094	Gdap2
gene6095	Fam46c
gene6096	LOC102554693
gene6097	Man1a2
gene6098	LOC683192
gene6099	LOC103691647
gene6100	LOC502589
gene6101	Vtcn1
gene6102	Trim45
gene6103	Ttf2
gene6104	Cd101
gene6105	Ptgfrn
gene6106	Cd2
gene6107	Igsf3
gene6108	Atp1a1
gene6109	LOC103691652
gene6110	LOC102549541
gene6111	Mab21l3
gene6112	Slc22a15
gene6113	Nhlh2
gene6114	LOC100362177
gene6115	Casq2
gene6116	Vangl1
gene6117	LOC102549693
gene6118	Ngf
gene6119	LOC102549793
gene6120	Tspan2
gene6121	Tshb
gene6122	Sycp1
gene6123	LOC103695136
gene6124	Nr1h5
gene6125	Sike1
gene6126	LOC690988
gene6127	LOC103691653
gene6128	Csde1
gene6129	Nras
gene6130	Ampd1
gene6131	Dennd2c
gene6132	Bcas2
gene6133	LOC691020
gene6134	LOC103690210
gene6135	Trim33
gene6136	LOC100362611
gene6137	Syt6
gene6138	LOC102546891
gene6139	LOC103691654
gene6140	LOC102547265
gene6141	Olfml3
gene6142	Hipk1
gene6143	Dclre1b
gene6144	Ap4b1
gene6145	Bcl2l15
gene6146	Ptpn22
gene6147	LOC103691655
gene6148	Rsbn1
gene6149	Phtf1
gene6150	Magi3
gene6151	LOC102549254
gene6152	LOC102549355
gene6153	LOC103691657
gene6154	LOC102551840
gene6155	LOC103691658
gene6156	RGD1564469
gene6157	Lrig2
gene6158	LOC102547575
gene6159	LOC102547682
gene6160	Slc16a1
gene6161	LOC102547750
gene6162	LOC103691660
gene6163	Fam19a3
gene6164	Ppm1j
gene6165	Rhoc
gene6166	Mov10
gene6167	Capza1
gene6168	St7l
gene6169	Wnt2b
gene6170	LOC365897
gene6171	Cttnbp2nl
gene6172	LOC103691661
gene6173	RGD1564583
gene6174	LOC102548357
gene6175	LOC102548297
gene6176	LOC102548417
gene6177	LOC103691663
gene6178	Kcnd3
gene6179	Ddx20
gene6180	Fam212b
gene6181	Rap1a
gene6182	LOC102548822
gene6183	LOC102556916
gene6184	LOC102556935
gene6185	LOC103691674
gene6186	Adora3
gene6187	LOC100363228
gene6188	Atp5f1
gene6189	Wdr77
gene6190	LOC102553341
gene6191	Pifo
gene6192	LOC103691665
gene6193	Prdx1l1
gene6194	Chia
gene6195	Chi3l4
gene6196	Chi3l3
gene6197	RGD1309110
gene6198	LOC691253
gene6199	LOC102555268
gene6200	LOC100912312
gene6201	Dennd2d
gene6202	Cept1
gene6203	Dram2
gene6204	LOC103691666
gene6205	Lrif1
gene6206	Cd53
gene6207	Olr392
gene6208	LOC100912756
gene6209	Kcna3
gene6210	LOC103691668
gene6211	Kcna2
gene6212	Kcna10
gene6213	LOC102557194
gene6214	Cym
gene6215	LOC103691675
gene6216	Prok1
gene6217	LOC103691669
gene6218	Lamtor5
gene6219	Slc16a4
gene6220	Rbm15
gene6221	LOC684509
gene6222	Kcnc4
gene6223	Slc6a17
gene6224	Ubl4b
gene6225	Alx3
gene6226	Strip1
gene6227	Ahcyl1
gene6228	Csf1
gene6229	LOC103691670
gene6230	LOC102550122
gene6231	Eps8l3
gene6232	Gstm5
gene6233	Gstm6l
gene6234	Gstm7
gene6235	Gstm6
gene6236	LOC102550297
gene6237	LOC102550192
gene6238	Gstm3
gene6239	Gstm2
gene6240	Gstm1
gene6241	Gstm4
gene6242	Ampd2
gene6243	Gnat2
gene6244	Gnai3
gene6245	Gpr61
gene6246	Amigo1
gene6247	Cyb561d1
gene6248	Atxn7l2
gene6249	Sypl2
gene6250	Psma5
gene6251	Sort1
gene6252	Mybphl
gene6253	Psrc1
gene6254	Celsr2
gene6255	Sars
gene6256	RGD1310209
gene6257	RGD1309139
gene6258	Cox6b1
gene6259	Tmem167b
gene6260	Taf13
gene6261	Wdr47
gene6262	LOC100911557
gene6263	Clcc1
gene6264	Gpsm2
gene6265	Aknad1
gene6266	LOC102547393
gene6267	Stxbp3
gene6268	LOC103691671
gene6269	Fndc7
gene6270	Mir6314
gene6271	Prpf38b
gene6272	Henmt1
gene6273	Fam102b
gene6274	Slc25a54
gene6275	Slc25a24
gene6276	Vav3
gene6277	Mrps17-ps1
gene6278	Ntng1
gene6279	Prmt6
gene6280	LOC102552915
gene6281	LOC100911916
gene6282	RGD1562088
gene6283	LOC102553245
gene6284	LOC102553446
gene6285	LOC691489
gene6286	LOC691492
gene6287	LOC100363450
gene6288	Hmox2-ps1
gene6289	LOC365910
gene6290	LOC100359416
gene6291	LOC103691672
gene6292	LOC103691677
gene6293	LOC692120
gene6294	LOC103690418
gene6295	LOC691520
gene6296	Amy2-ps2
gene6297	LOC691530
gene6298	Amy2a3
gene6299	Amy1a
gene6300	Rnpc3
gene6301	LOC102548072
gene6302	RGD1561877
gene6303	Col11a1
gene6304	Olfm3
gene6305	LOC103691679
gene6306	S1pr1
gene6307	LOC102548358
gene6308	Dph5
gene6309	Slc30a7
gene6310	Extl2
gene6311	RGD1559607
gene6312	LOC691609
gene6313	Vcam1
gene6314	Gpr88
gene6315	Cdc14a
gene6316	Rtcd1
gene6317	Dbt
gene6318	LOC103691700
gene6319	Lrrc39
gene6320	Trmt13
gene6321	Sass6
gene6322	Hiat1
gene6323	LOC102548510
gene6324	Slc35a3
gene6325	Agl
gene6326	LOC102548573
gene6327	Frrs1
gene6328	Palmd
gene6329	LOC102548639
gene6330	LOC103691680
gene6331	LOC102548700
gene6332	Lppr4
gene6333	Lppr5
gene6334	Snx7
gene6335	LOC102549046
gene6336	LOC103691702
gene6337	LOC103691681
gene6338	Mir137
gene6339	LOC102549180
gene6340	Dpyd
gene6341	LOC103691683
gene6342	Ptbp2
gene6343	LOC103691684
gene6344	LOC102553943
gene6345	Rwdd3
gene6346	LOC691737
gene6347	Tmem56
gene6348	Alg14
gene6349	LOC103691685
gene6350	Cnn3
gene6351	Slc44a3
gene6352	LOC103691686
gene6353	LOC102554656
gene6354	LOC102554786
gene6355	LOC102555482
gene6356	F3
gene6357	Abcd3
gene6358	LOC103695137
gene6359	Arhgap29
gene6360	Abca4
gene6361	LOC102556705
gene6362	LOC102555028
gene6363	Gclm
gene6364	LOC100910753
gene6365	Trnar-ucu
gene6366	Mir760
gene6367	LOC102556766
gene6368	LOC102555173
gene6369	Bcar3
gene6370	Fnbp1l
gene6371	RGD1560826
gene6372	Pde5a
gene6373	LOC102550474
gene6374	Fabp2
gene6375	LOC691807
gene6376	Usp53
gene6377	Myoz2
gene6378	LOC365926
gene6379	Synpo2
gene6380	Sec24d
gene6381	Mettl14
gene6382	RGD1563330
gene6383	Prss12
gene6384	LOC103691688
gene6385	Ndst3
gene6386	LOC100360323
gene6387	Hspd1-ps12
gene6388	LOC691847
gene6389	LOC103691689
gene6390	Tram1l1
gene6391	LOC103691690
gene6392	RGD1306519
gene6393	LOC691855
gene6394	RGD1563340
gene6395	LOC365932
gene6396	LOC691870
gene6397	LOC103691691
gene6398	LOC310891
gene6399	Ndst4
gene6400	Ugt8
gene6401	LOC499706
gene6402	Arsj
gene6403	LOC691901
gene6404	Camk2d
gene6405	Ank2
gene6406	LOC103691694
gene6407	LOC103691695
gene6408	LOC502594
gene6409	Larp7
gene6410	Zgrf1
gene6411	LOC103691701
gene6412	Neurog2
gene6413	Alpk1
gene6414	LOC103691697
gene6415	LOC103691696
gene6416	Tifa
gene6417	Ap1ar
gene6418	LOC691931
gene6419	RGD1565088
gene6420	LOC103695143
gene6421	LOC103691698
gene6422	LOC102546358
gene6423	LOC102556487
gene6424	LOC100361336
gene6425	Pitx2
gene6426	LOC102546772
gene6427	Enpep
gene6428	LOC103695138
gene6429	LOC691954
gene6430	LOC365940
gene6431	Dcm5
gene6432	Elovl6
gene6433	Egf
gene6434	Lrit3
gene6435	Rrh
gene6436	Gar1
gene6437	Cfi
gene6438	Pla2g12a
gene6439	Casp6
gene6440	Ccdc109b
gene6441	LOC103691693
gene6442	Sec24b
gene6443	Trnak-uuu
gene6444	LOC103691692
gene6445	LOC102553088
gene6446	LOC103691705
gene6447	Col25a1
gene6448	Etnppl
gene6449	Ostc
gene6450	Rpl34
gene6451	LOC103691706
gene6452	LOC102552237
gene6453	Lef1
gene6454	LOC103691708
gene6455	Hadh
gene6456	Cyp2u1
gene6457	LOC102552472
gene6458	Sgms2
gene6459	LOC100910892
gene6460	Papss1
gene6461	LOC103691709
gene6462	LOC103691710
gene6463	LOC103691711
gene6464	LOC680243
gene6465	Dkk2
gene6466	LOC102547576
gene6467	LOC103691712
gene6468	LOC102547683
gene6469	Gimd1
gene6470	Aimp1
gene6471	Tbck
gene6472	LOC680335
gene6473	LOC102556143
gene6474	LOC103691713
gene6475	LOC102548169
gene6476	LOC686753
gene6477	LOC365942
gene6478	LOC102548236
gene6479	Gstcd
gene6480	Ints12
gene6481	Arhgef38
gene6482	LOC102546359
gene6483	Ppa2
gene6484	Gpbp1l2
gene6485	Tet2
gene6486	LOC100362967
gene6487	LOC103690217
gene6488	LOC102547009
gene6489	LOC103691714
gene6490	Cxxc4
gene6491	LOC100363023
gene6492	LOC100912504
gene6493	Tacr3
gene6494	LOC680644
gene6495	Cenpe
gene6496	Bdh2
gene6497	Slc9b2
gene6498	Slc9b1
gene6499	Cisd2
gene6500	LOC100912622
gene6501	Ube2d3
gene6502	Manba
gene6503	Nfkb1
gene6504	LOC103691716
gene6505	LOC102547363
gene6506	Slc39a8
gene6507	LOC102556580
gene6508	Bank1
gene6509	LOC103691733
gene6510	Ppp3ca
gene6511	LOC103691732
gene6512	LOC680797
gene6513	LOC102554787
gene6514	Emcn
gene6515	LOC499715
gene6516	Ddit4l
gene6517	LOC102555210
gene6518	H2afz
gene6519	Dnajb14
gene6520	Lamtor3
gene6521	Dapp1
gene6522	LOC102555357
gene6523	LOC365949
gene6524	LOC499717
gene6525	LOC102555623
gene6526	LOC102555814
gene6527	Mttp
gene6528	Trmt10a
gene6529	RGD1309170
gene6530	LOC681022
gene6531	Adh7
gene6532	LOC102556058
gene6533	Adh1
gene6534	LOC102556144
gene6535	Adh6a
gene6536	LOC103691717
gene6537	LOC310902
gene6538	Adh6
gene6539	Adh4
gene6540	LOC102556299
gene6541	Adh5
gene6542	Metap1
gene6543	LOC103691718
gene6544	LOC102556448
gene6545	Eif4e
gene6546	LOC102547751
gene6547	LOC102546735
gene6548	LOC102547266
gene6549	LOC102549290
gene6550	Tspan5
gene6551	RGD1560590
gene6552	Rap1gds1
gene6553	Stpg2
gene6554	LOC100910816
gene6555	LOC365953
gene6556	LOC100360693
gene6557	LOC103691720
gene6558	Pdha2
gene6559	Unc5c
gene6560	LOC103695139
gene6561	Bmpr1b
gene6562	Pdlim5
gene6563	Gbp5
gene6564	LOC685067
gene6565	Gbp4
gene6566	Gbp2
gene6567	Gbp1
gene6568	LOC685116
gene6569	RGD1560801
gene6570	LOC687532
gene6571	Ccbl2
gene6572	Gtf2b
gene6573	Pkn2
gene6574	LOC102546591
gene6575	LOC102546938
gene6576	LOC102547040
gene6577	LOC102547116
gene6578	Lmo4
gene6579	LOC102549255
gene6580	LOC103691722
gene6581	LOC102549483
gene6582	Hs2st1
gene6583	LOC103691723
gene6584	Sep15
gene6585	Sh3glb1
gene6586	Clca2
gene6587	Clca4l
gene6588	LOC102549543
gene6589	LOC102548145
gene6590	Clca4
gene6591	Clca1
gene6592	Clca5
gene6593	LOC103691724
gene6594	Odf2l
gene6595	LOC103695140
gene6596	Col24a1
gene6597	Znhit6
gene6598	Cyr61
gene6599	Ddah1
gene6600	Bcl10
gene6601	RGD1560065
gene6602	LOC102553118
gene6603	Syde2
gene6604	Wdr63
gene6605	Mcoln3
gene6606	Mcoln2
gene6607	Lpar3
gene6608	LOC103691729
gene6609	Ssx2ip
gene6610	Ctbs
gene6611	Spata1
gene6612	Gng5
gene6613	Rpf1
gene6614	LOC103691730
gene6615	Dnase2b
gene6616	Uox
gene6617	LOC56764
gene6618	Prkacb
gene6619	Ttll7
gene6620	LOC100361005
gene6621	Lphn2
gene6622	LOC103690134
gene6623	LOC102547720
gene6624	LOC102547649
gene6625	LOC102547779
gene6626	LOC102547949
gene6627	LOC102548042
gene6628	LOC103691734
gene6629	LOC102548237
gene6630	RGD1566247
gene6631	Calm-ps1
gene6632	LOC103691735
gene6633	Eltd1
gene6634	LOC102548445
gene6635	Ifi44
gene6636	Ifi44l
gene6637	Ptgfr
gene6638	LOC103691736
gene6639	LOC688755
gene6640	LOC102548701
gene6641	Gipc2
gene6642	LOC102548762
gene6643	Dnajb4
gene6644	Fubp1
gene6645	Nexn
gene6646	LOC102548862
gene6647	Fam73a
gene6648	Usp33
gene6649	LOC102548604
gene6650	Zzz3
gene6651	LOC365985
gene6652	LOC102551818
gene6653	Cripak
gene6654	LOC102549154
gene6655	Pigk
gene6656	St6galnac5
gene6657	St6galnac3
gene6658	LOC103691738
gene6659	LOC103691740
gene6660	LOC102553411
gene6661	Asb17
gene6662	Msh4
gene6663	Rabggtb
gene6664	Acadm
gene6665	LOC102553583
gene6666	Slc44a5
gene6667	Lhx8
gene6668	LOC365983
gene6669	Tyw3
gene6670	Cryz
gene6671	Erich3
gene6672	LOC103691742
gene6673	LOC102555516
gene6674	LOC102555624
gene6675	Tnni3k
gene6676	Fpgt
gene6677	Lrriq3
gene6678	LOC100361456
gene6679	LOC103691743
gene6680	LOC103695142
gene6681	LOC102555911
gene6682	Negr1
gene6683	Zranb2
gene6684	Mir186
gene6685	Ptger3
gene6686	LOC102549257
gene6687	RGD1564920
gene6688	LOC365967
gene6689	Cth
gene6690	Ankrd13c
gene6691	Srsf11
gene6692	Lrrc40
gene6693	Lrrc7
gene6694	LOC102550475
gene6695	LOC689527
gene6696	LOC689490
gene6697	Depdc1
gene6698	Rpe65
gene6699	LOC102556878
gene6700	Trnai-aau
gene6701	Wls
gene6702	LOC691639
gene6703	LOC103695144
gene6704	LOC100912846
gene6705	LOC100362305
gene6706	LOC100364044
gene6707	LOC103690414
gene6708	LOC102556528
gene6709	LOC102556539
gene6710	LOC103695145
gene6711	LOC687005
gene6712	LOC102556855
gene6713	LOC103695147
gene6714	LOC103695156
gene6715	LOC499742
gene6716	LOC102551365
gene6717	LOC679914
gene6718	Nxph2
gene6719	Spopl
gene6720	LOC679985
gene6721	LOC679995
gene6722	Psx1
gene6723	RGD1564974
gene6724	Hnmt
gene6725	LOC102546737
gene6726	Tbpl2
gene6727	LOC296537
gene6728	LOC103691749
gene6729	LOC365999
gene6730	LOC362075
gene6731	Il36g
gene6732	Il36a
gene6733	RGD1559890
gene6734	Il36b
gene6735	Il36rn
gene6736	Il1f10
gene6737	Il1rn
gene6738	Psd4
gene6739	Pax8
gene6740	LOC102549321
gene6741	LOC102549381
gene6742	Cacna1b
gene6743	Ehmt1
gene6744	Arrdc1
gene6745	Zmynd19
gene6746	RGD1304868
gene6747	Mrpl41
gene6748	Pnpla7
gene6749	LOC103695148
gene6750	LOC681261
gene6751	Nsmf
gene6752	Entpd8
gene6753	Noxa1
gene6754	LOC102556647
gene6755	Nrarp
gene6756	Tor4a
gene6757	Nelfb
gene6758	LOC499746
gene6759	Fam166a
gene6760	Tubb4b
gene6761	Slc34a3
gene6762	LOC103691746
gene6763	Rnf224
gene6764	Cysrt1
gene6765	Rnf208
gene6766	Ndor1
gene6767	Tmem203
gene6768	Tprn
gene6769	Ssna1
gene6770	Anapc2
gene6771	Tmem210
gene6772	Lrrc26
gene6773	Grin1
gene6774	Man1b1
gene6775	LOC103691747
gene6776	Dpp7
gene6777	Uap1l1
gene6778	Sapcd2
gene6779	Entpd2
gene6780	Npdc1
gene6781	LOC366006
gene6782	Fut7
gene6783	Abca2
gene6784	Clic3
gene6785	RGD1306215
gene6786	LOC103691748
gene6787	Ptgds
gene6788	Lcn12
gene6789	C8g
gene6790	Fbxw5
gene6791	Traf2
gene6792	Edf1
gene6793	Mamdc4
gene6794	Phpt1
gene6795	RGD1560470
gene6796	Rabl6
gene6797	Ccdc183
gene6798	Tmem141
gene6799	Fcna
gene6800	Lcn8
gene6801	Lcn5
gene6802	Lcn6
gene6803	Lcn10
gene6804	Obp2a
gene6805	Bmyc
gene6806	LOC100359901
gene6807	Lcn11
gene6808	Lcn3
gene6809	LOC100359989
gene6810	LOC100360027
gene6811	Glt6d1
gene6812	Lcn9
gene6813	Sohlh1
gene6814	Kcnt1
gene6815	Camsap1
gene6816	LOC100360117
gene6817	LOC102550543
gene6818	LOC102552327
gene6819	Ubac1
gene6820	Nacc2
gene6821	LOC103691752
gene6822	RGD1564379
gene6823	Lhx3
gene6824	Qsox2
gene6825	LOC103691753
gene6826	RGD1565512
gene6827	Gpsm1
gene6828	Dnlz
gene6829	Card9
gene6830	Snapc4
gene6831	Sdccag3
gene6832	Pmpca
gene6833	Inpp5e
gene6834	Sec16a
gene6835	Notch1
gene6836	Egfl7
gene6837	Mir3567
gene6838	Mir126
gene6839	Agpat2
gene6840	Fam69b
gene6841	LOC100911266
gene6842	LOC681186
gene6843	LOC102547612
gene6844	LOC100362793
gene6845	LOC100911507
gene6846	LOC103695149
gene6847	LOC103691755
gene6848	Lcn1
gene6849	LOC100360449
gene6850	LOC102547882
gene6851	LOC296593
gene6852	Gbgt1
gene6853	Lcn4
gene6854	LOC681385
gene6855	Abo2
gene6856	LOC681413
gene6857	LOC684988
gene6858	LOC685000
gene6859	Abo
gene6860	LOC102548384
gene6861	Surf6
gene6862	Med22
gene6863	Rpl7a
gene6864	Surf1
gene6865	Surf2
gene6866	Surf4
gene6867	Stkld1
gene6868	Rexo4
gene6869	Cacfd1
gene6870	LOC102548484
gene6871	Slc2a6
gene6872	Tmem8c
gene6873	Adamtsl2
gene6874	Fam163b
gene6875	LOC103695150
gene6876	Dbh
gene6877	Sardh
gene6878	LOC102548789
gene6879	LOC103691757
gene6880	Vav2
gene6881	LOC100911432
gene6882	Brd3
gene6883	Mir7578
gene6884	Wdr5
gene6885	Rxra
gene6886	Col5a1
gene6887	Fcnb
gene6888	Olfm1
gene6889	LOC102549127
gene6890	LOC103691762
gene6891	LOC103691763
gene6892	Ppp1r26
gene6893	RGD1306233
gene6894	Mrps2
gene6895	LOC499764
gene6896	Ralgds
gene6897	Cel
gene6898	Gtf3c5
gene6899	Gfi1b
gene6900	Tsc1
gene6901	Rsb66
gene6902	Ak8
gene6903	Gtf3c4
gene6904	Ddx31
gene6905	Barhl1
gene6906	RGD1564114
gene6907	Ttf1
gene6908	Setx
gene6909	Ntng2
gene6910	Med27
gene6911	Rapgef1
gene6912	LOC102546892
gene6913	LOC102547011
gene6914	Trub2
gene6915	Coq4
gene6916	Slc27a4
gene6917	LOC103691758
gene6918	Urm1
gene6919	Mir2964
gene6920	Mir219-2
gene6921	Cercam
gene6922	LOC102547269
gene6923	Odf2
gene6924	Gle1
gene6925	Sptan1
gene6926	Wdr34
gene6927	Pkn3
gene6928	Zdhhc12
gene6929	Zer1
gene6930	LOC103691759
gene6931	Tbc1d13
gene6932	LOC102550843
gene6933	Endog
gene6934	LOC499770
gene6935	Ccbl1
gene6936	Lrrc8a
gene6937	Phyhd1
gene6938	Dolk
gene6939	Nup188
gene6940	Sh3glb2
gene6941	Fam73b
gene6942	LOC686066
gene6943	Dolpp1
gene6944	Crat
gene6945	Ppp2r4
gene6946	Ier5l
gene6947	LOC100361008
gene6948	LOC102550392
gene6949	LOC102554559
gene6950	RGD1311084
gene6951	Ntmt1
gene6952	Asb6
gene6953	Prrx2
gene6954	Ptges
gene6955	Tor1b
gene6956	Tor1a
gene6957	RGD1305178
gene6958	Usp20
gene6959	Fnbp1
gene6960	Gpr107
gene6961	Ncs1
gene6962	LOC103691761
gene6963	Hmcn2
gene6964	LOC103695151
gene6965	LOC103691760
gene6966	Ass1
gene6967	Fubp3
gene6968	Prdm12
gene6969	Exosc2
gene6970	LOC100909750
gene6971	LOC100909783
gene6972	Fibcd1
gene6973	LOC102554154
gene6974	Lamc3
gene6975	Aif1l
gene6976	Nup214
gene6977	LOC102555629
gene6978	Fam78a
gene6979	LOC103691794
gene6980	Ppapdc3
gene6981	Prrc2b
gene6982	LOC103691765
gene6983	Pomt1
gene6984	Uck1
gene6985	LOC103691766
gene6986	Swi5
gene6987	Golga2
gene6988	Dnm1
gene6989	Ciz1
gene6990	RGD1561113
gene6991	Lcn2
gene6992	Ptges2
gene6993	Slc25a25
gene6994	Naif1
gene6995	LOC687746
gene6996	Fam102a
gene6997	Dpm2
gene6998	Pip5kl1
gene6999	St6galnac4
gene7000	St6galnac6
gene7001	Ak1
gene7002	Eng
gene7003	Fpgs
gene7004	Cdk9
gene7005	Sh2d3c
gene7006	Tor2a
gene7007	LOC100362059
gene7008	Ptrh1
gene7009	LOC499781
gene7010	Stxbp1
gene7011	Fam129b
gene7012	Lrsam1
gene7013	Rpl12
gene7014	Slc2a8
gene7015	Garnl3
gene7016	LOC102557449
gene7017	Ralgps1
gene7018	Angptl2
gene7019	Zbtb34
gene7020	Zbtb43
gene7021	LOC102550017
gene7022	Lmx1b
gene7023	LOC103695152
gene7024	Mvb12b
gene7025	Pbx3
gene7026	LOC103691768
gene7027	LOC103695153
gene7028	Mapkap1
gene7029	LOC100911753
gene7030	LOC103691769
gene7031	Gapvd1
gene7032	LOC103691795
gene7033	Hspa5
gene7034	Rabepk
gene7035	Fbxw2
gene7036	LOC103691796
gene7037	Psmd5
gene7038	RGD1564854
gene7039	Phf19
gene7040	LOC103695154
gene7041	Traf1
gene7042	C5
gene7043	LOC103691771
gene7044	RGD1308742
gene7045	Cntrl
gene7046	Rab14
gene7047	LOC102548763
gene7048	Gsn
gene7049	Stom
gene7050	Ggta1
gene7051	LOC102548933
gene7052	LOC100364487
gene7053	LOC502618
gene7054	Ggta1p
gene7055	LOC102549213
gene7056	RGD1564343
gene7057	LOC102556489
gene7058	Dab2ip
gene7059	Ttll11
gene7060	LOC103695155
gene7061	LOC103695158
gene7062	Ndufa8
gene7063	Morn5
gene7064	Lhx6
gene7065	Rbm18
